Comment_ID,Campaign_ID,Comment_Text,Sentiment,Sentiment_Score,Likes,Engagements
730366fb-10d7-4e52-b64d-7ce640b67c60,C000,"@user I think I may have to start watching the new season of Sharknado 3 on Sunday.  It's a great show, and a great movie, and I really liked it.  #Sharknado3
The new",Positive,0.9061,24,91
09cd6301-6355-4157-8a41-f375290efc7e,C000,"I may be the only person who isn't obsessed with Apple Watch.  It's not even a smartwatch.  But I'm pretty sure that Apple's new smartwatch will be smart enough to wear it.
@user @user",Positive,0.9013,37,87
97a0d969-92c0-4707-8fdf-1259984d3a8e,C000,I'd be very interested to hear from you if you would like to join us at the Red Sox home opener on Saturday at 5:00pm.,Positive,0.7713,17,29
e7761d03-bd56-4b46-940f-f97173685f8e,C000,The #Beltway\u002c the #Beltway is the most important place in the world to live and work.  It\u2019s a city in the heart of the heart of #NYC.  #NY,Positive,0.2716,28,30
9576c258-dd63-4317-b28d-30ee078dd189,C000,"You may remember that I wrote about the new Apple Watch in the Apple News app for iOS.   #iPhoneNews #AppleWatch
""I may not be a fan of Apple, but I'm a huge fan of the new iPhone 6s",Positive,0.0067,39,77
8d47e301-3b99-45ec-9ad1-2558ba734c86,C000,I\u2019ve just had a very good day\u002c  but I\u2019m gonna have to wait until tomorrow to watch the 1st episode of Sharknado 3.  I'm not gonna watch Sharknado 3,Positive,0.2724,5,86
03db2bfe-74df-49d5-b862-2f95b6ee397c,C000,I'm not sure if you guys know what to expect in the Big Brother season opener tomorrow.  We have a big game on Thursday night.,Negative,-0.2411,5,15
837af518-c36f-45dc-8753-4e6fac6db270,C000,,Neutral,0.0,2,12
3079dcb7-d3bf-4640-8f6f-90b69139f8eb,C000,@user @user @user @user @user @user @user @user,Neutral,0.0,13,24
b8d27505-82db-4797-acc0-9c55b4ac8757,C000,"I may be the only person who isn't obsessed with Apple Watch.  It's not even a smartwatch.  But I'm pretty sure that Apple's new smartwatch will be smart enough to wear it.
@user @user",Positive,0.9013,20,17
